time,pyfile,data_shape,random_state,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,last_val_loss,best_val_loss,best_val_epoch,last_accuracy,best_val_accuracy,best_val_acc_epoch,test_loss,test_accuracy,rmse,r2
2026-09-11 14:34:57,keras28_Scaler08_wine.py,"(142, 13)",78,sequential,Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,categorical_crossentropy,adam,861,6,64.7718,0.9904337525367737,0.0,0.0,0.0,661,1.0,1.0,6,0.1838380992412567,0.9444444179534912,,
2026-09-11 14:41:16,keras28_Scaler06_cancer.py,"(455, 30)",78,sequential,Dense 60 -> 50 -> 40 -> 30 -> 20 -> 10 -> 1,binary_crossentropy,adam,42,55,3.6494,0.6816413402557373,0.04173987731337547,0.15595364570617676,0.11159109324216843,22,0.9896373152732849,0.9855072498321533,36,0.073975570499897,0.9736841917037964,,
2026-09-11 15:07:18,keras28_Scaler10_digits.py,"(1437, 64)",78,sequential,Dense 400 -> 250 -> 100 -> 50 -> 40 -> 20 -> 10,categorical_crossentropy,adam,507,17,79.2569,0.8660329580307007,3.5956382760105043e-08,0.856361985206604,0.14879387617111206,7,1.0,0.9861111044883728,7,"[0.14168424904346466, 0.9638888835906982]",,,
2026-09-11 15:10:18,keras28_Scaler01_california.py,"(16512, 8)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 8 -> 4 -> 1,mse,adam,100,40,52.4277,0.7861910462379456,0.38988959789276123,0.5121480226516724,0.371965616941452,94,,,,,,,
2026-09-11 15:18:23,keras28_Scaler02_diabetes.py,"(353, 10)",78,sequential,Dense 120 -> 30 -> 48 -> 23 -> 1,mse,adam,232,30,14.1086,27941.330078125,2911.554443359375,2869.978759765625,2806.386474609375,132,,,,,,,
2026-09-11 15:20:00,keras28_Scaler03_boston.py,"(404, 13)",78,sequential,Dense 10 -> 30 -> 62 -> 48 -> 23 -> 1,mse,adam,61,30,4.6405,470.9402770996094,23.425464630126953,32.40510940551758,31.047740936279297,51,,,,,,,
2026-09-11 15:21:16,keras28_Scaler04_dacon_ddarung.py,"(1062, 9)",78,sequential,Dense 256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,mse,adam,161,30,14.3408,12390.0751953125,3121.05615234375,2141.37158203125,2123.6083984375,61,,,,,,,
2026-09-11 15:23:57,keras28_Scaler05_kaggle_bike.py,"(8708, 8)",78,sequential,Dense 512 -> 256 -> 128 -> 64 -> 32 -> 16 -> 8 -> 1,mse,adam,229,55,63.291,38093.4609375,17967.681640625,21085.232421875,20665.931640625,179,,,,,,,
2026-09-11 15:24:25,keras28_Scaler06_cancer.py,"(455, 30)",78,sequential,Dense 60 -> 50 -> 40 -> 30 -> 20 -> 10 -> 1,binary_crossentropy,adam,60,55,4.8857,0.6847363114356995,0.05415290966629982,0.11124298721551895,0.08728279173374176,40,0.9818652868270874,0.9855072498321533,34,0.06008222699165344,0.9912280440330505,,
2026-09-11 15:28:17,keras28_Scaler07_santander.py,"(160000, 200)",78,sequential,Dense 800 -> 600 -> 400 -> 200 -> 100 -> 50 -> 1,binary_crossentropy,adam,100,9000,128.3721,0.36736246943473816,0.1307239681482315,0.35461023449897766,0.24079614877700806,20,0.9563202857971191,0.9121562242507935,21,0.2380708009004593,0.9139500260353088,,
2026-09-11 15:29:36,keras28_Scaler08_wine.py,"(142, 13)",78,sequential,Dense 100 -> 40 -> 30 -> 20 -> 15 -> 7 -> 3,categorical_crossentropy,adam,1000,6,74.3443,1.0816466808319092,2.815967015123988e-09,8.042168701649643e-06,4.466225163923809e-06,981,1.0,1.0,12,0.29976019263267517,0.9722222089767456,,
